title,url,gist1,gist2,gist3,gist4,gist5
12-year-old Ananya Vinay spells 'marocain' to win the National Spelling Bee,http://timesofindia.indiatimes.com/nri/nri-achievers/12-year-old-ananya-vinay-spells-marocain-to-win-the-national-spelling-bee/articleshow/58956060.cms,"OXON HILL, Ananya Vinay of Fresno, California won the Scripps National Spelling Bee on Thursday, taking home a $40,000 cash prize after 12 hours of picking her way along a precarious lifeline of consonants and vowels.","Competitors age 6 to 15 emerged from early spelling bees involving more than 11 million youths from all 50 US states, US territories from Puerto Rico to Guam, and several countries, from Jamaica to Japan.","In earlier rounds, some spellers tripped over words including Corriedale, toreutics, cleidoic and panettone, weeding down the field headed for the finish of the 90th national Bee.",""" exclaimed Maggie Sheridan, 13, from Mansfield, Ohio, throwing her hands up in disbelief when she learned she correctly spelled whirlicote, a type of luxurious carriage, with one second to spare.","Her mother, Michele Schaff, who homeschools her two children, said she knew her daughter had a talent for spelling when, at age 1, she labeled the family cat with wooden letters."
Trump administration asks Supreme Court to revive travel ban,http://timesofindia.indiatimes.com/world/us/trump-administration-asks-supreme-court-to-revive-travel-ban/articleshow/58955736.cms,President Donald Trump's administration on Thursday asked the US Supreme Court to revive his ban on travelers from six Muslim-majority nations after it was blocked by lower courts that found it was discriminatory.,"""We have asked the Supreme Court to hear this important case and are confident that President Trump's executive order is well within his lawful authority to keep the nation safe and protect our communities from terrorism,"" Justice Department spokeswoman Sarah Isgur Flores said in a statement.","In its 10-3 ruling, the US 4th Circuit Court of Appeals said challengers of the ban, including refugee groups and others represented by the American Civil Liberties Union, were likely to succeed on their claim that the order violated the US Constitution's bar against favoring or disfavoring a particular religion.",The March ban was Trump's second effort to implement travel restrictions on people from several Muslim-majority countries through an executive order.,"The second order was intended to overcome the legal issues posed by the original ban, but it was blocked by judges before it could go into effect on March 16."
Anil Kumble: Is Anil Kumble row behind Ramachandra Guha quitting CoA?,http://timesofindia.indiatimes.com/sports/cricket/news/is-anil-kumble-row-behind-ramachandra-guha-quitting-coa/articleshow/58955436.cms,"Less than four months after his surprise inclusion in the Committee of Administrators (CoA) appointed by the Supreme Court to inject reforms into the world's richest cricket board, eminent writer and historian Ramachandra Guha has resigned from the panel.","While Guha quit the panel citing 'personal reasons', his resignation is being seen as a protest over India coach Anil Kumble not getting an automatic tenure extension.","Interestingly, Guha communicated his decision to the Supreme Court while keeping his CoA colleagues, including chairman Vinod Rai, in the dark, sources said.",His counsel informed a vacation bench of Justices M M Shantanagoudar and Deepak Gupta that Guha had tendered his resignation to Rai on May 28 and wanted to bring this on record before the apex court.,"""   Guha's counsel said the matter was scheduled to be heard only on July 14 and that the historian was merely requesting the bench to take up the application so that he was relieved of the task assigned to him by the apex court."
Resorts World Manila entertainment complex: At least 34 dead in botched robbery of Philippines casino: Report,http://timesofindia.indiatimes.com/world/rest-of-world/at-least-34-dead-in-botched-robbery-of-philippines-casino-report/articleshow/58955627.cms,"At least 34 people are dead after a gunman burst into a Manila casino, firing shots and setting gaming tables alight, Philippine media reported on Friday, in what officials said was a botched robbery attempt.","Many of the dead suffocated in the chaos as guests and staff tried to flee choking smoke at the complex, according to a report by ANC News channel, quoting Bureau of Fire Protection sources.","Maybe because of the heavy firearm, they can't put up a fight so they prioritised life and safety,"" Jeff Santos, a high roller at Resorts World Manila, told a Philippine radio station.","""   Jeri Ann Santiago, who works in the emergency room at the San Juan de Dios hospital, said patients were suffering the effects of smoke inhalation and some had injuries such as fractures.","Dozens of police trucks and a handful of huge Special Action Force vans and armoured personnel carriers lined side streets near the hotel, casino and shopping mall complex as the drama unfolded."
Thrilled to get off to a start like this: Joe Root,http://timesofindia.indiatimes.com/sports/cricket/champions-trophy-2017/top-stories/thrilled-to-get-off-to-a-start-like-this-joe-root/articleshow/58955368.cms,"Joe Root, who scored his 10th ODI hundred, was thrilled at England getting their Champions Trophy campaign off to an emphatic start.","""There's a lot of confidence in the dressing room, we back each other and it rubs off on everyone,"" said Root after title favourites England beat Bangladesh by eight wickets.","""That worked out today, thrilled to bits to get off to a good start,"" said Root after England chased down 305 for two in 47.2 overs.","""Joe is the glue in our side, he's scored a lot or runs, he's not slow, it's at pace and today he was outstanding.","""   On his own performance, he said: ""I want to lead from the front this tournament, put ourselves in a good position after this game, two to go in the group stages."
"Team India coach: Deadline to apply over, Sehwag, Moody lead race to be India coach",http://timesofindia.indiatimes.com/sports/cricket/news/deadline-to-apply-over-sehwag-moody-lead-race-to-be-india-coach/articleshow/58954640.cms,"With the deadline for submitting of applications for the post of Team India coach ending, former opener Virender Sehwag has entered the fray.","This happened even as the panel of legends, Sachin Tendulkar, Sourav Ganguly and VVS Laxman, that chose Anil Kumble for the job was tasked with trying to salvage the relationship between the coach and skipper Virat Kohli.","Ex-Australia all-rounder Tom Moody, and former Pakistan and Bangladesh coach Ri chard Pybus, who is now director of cricket for the West Indies, are learnt to have applied for the job.","Sachin Tendulkar and VVS Laxman are heading to the United Kingdom where Ganguly, the other member of the three-member cricket advisory committee that will look into the selection of Team India's coach, is busy doing commentary .","The advisory committee is scheduled to meet COA head Vinod Rai - who will be on a personal visit to England with his wife, and BCCI officials in London this week."
Paris climate deal: Trump rant against India casts shadow on PM Modi visit to US,http://timesofindia.indiatimes.com/india/trump-rant-against-india-casts-shadow-on-pm-modi-visit-to-us/articleshow/58955112.cms,US President Donald Trump unloaded on India among other countries during an epic rant on Thursday while announcing American withdrawal from the Paris climate change accord.,"The shrill speech, replete with claims of American victimhood at the hands of the rest of the world, casts a chill on Prime Minister Narendra Modi's expected visit to the White House later this month.","We're supposed to get rid of ours,"" the US President fumed, arguing that ""compliance with the terms of the Paris Accord and the onerous energy restrictions it has placed on the US could cost America as much as 2.7 million lost jobs by 2025"" - figures that are contested even within the US.","Compared to the peanuts in US aid (which New Delhi prefers is completely stopped), India buys $100 million worth of California almonds alone every year, besides billions in armaments.","But expanding on the victimhood thesis, Trump argued that the Paris Accord ""is less about the climate and more about other countries gaining a financial advantage over the United States."
"Arun Jaitley: Amid protests, Arun Jaitley and Venkaiah Naidu clarify on cattle law",http://timesofindia.indiatimes.com/india/amid-protests-arun-jaitley-and-venkaiah-naidu-clarify-on-cattle-law/articleshow/58954598.cms,"Two senior Union ministers on Thursday sought to allay apprehensions over the new government order on cattle trade, emphasising that the Centre will not interfere with the food habits of people in the different regions of the country.","While finance minister Arun Jaitley emphasised in Delhi that the Centre's order will not impact state laws on slaughter, information and broadcasting minister Venkaiah Naidu said in Ongole that the notification does not prevent anyone from eating beef.","You have provision in the Constitution's Article 48 (Directive Principles) which says that certain category of animals have to be protected,"" Jaitley added.",He added that a lot of hue and cry is being raised by certain groups over the issue to mislead people.,"""The recent order does not stop sale of cattle to individuals for any purpose,"" Naidu said, adding that the Centre is looking into the matter and will address all the genuine concerns, if any."
Suresh Chandra: EC wants govt to review changes in poll funding laws,http://timesofindia.indiatimes.com/india/ec-wants-govt-to-review-changes-in-poll-funding-laws/articleshow/58954611.cms,"The Election Commission has conveyed its reservations to the government regarding the recent amendments to the Representation of the People Act and Companies Act, effected through the Finance Bill, with respect to political funding.","While the RP Act amendment exempts political parties from declaring donations received through the electoral bonds route, the Companies Act has been updated to remove the ceiling on corporate donations to political parties.","In a letter sent to law secretary Suresh Chandra last week, EC asked the government to review the said amendments on the grounds that they would undermine transparency in funding of political parties.","""In a situation where the contribution received through electoral bonds are not reported, on perusal of the contribution report of political parties, it cannot be ascertained whether the political party has taken any donation in violation of provision under Section 29(b) of the RP Act which prohibits the political parties from taking donations from government companies and foreign sources,"" it was argued.","The government had, during the budget exercise, justified its electoral bonds proposal on the grounds that it would allow political donations to be made through the banking system while also allowing the donor the desired anonymity."
Manila: Manila casino gunman dead: Police,http://timesofindia.indiatimes.com/world/rest-of-world/manila-casino-gunman-dead-police/articleshow/58954362.cms,"A man who fired shots inside a casino in the Philippine capital apparently killed himself on Friday, the national police chief said, after initially claiming police shot the assailant dead.","He burned himself inside the hotel room,"" police chief Ronald Dela Rosa told reporters outside.","""   Dela Rosa made the comments about an hour after claiming in a television interview that police had shot the gunman dead.",Dela Rosa did not explain to reporters why he initially claimed police killed the man.,The gunman had fired an automatic rifle inside the Resorts World Manila casino complex about midnight.
86% of people want a law to protect private info: Study,http://timesofindia.indiatimes.com/india/86-of-people-want-a-law-to-protect-private-info-study/articleshow/58954289.cms,"For over 55 years, the Supreme Court and the government have not been able to define what should be included under the right to privacy, but citizens seem to have answered the question overwhelmingly, voting in favour of a law to protect individual privacy.","An NGO, Local Circles, conducted a survey among 9,653 citizens and asked them if India should have a privacy law to prevent organisations, private or public, from accessing information on individuals without their written authorisation.","The majority, 59% of the sample size, identified 18 issues as confidential, requiring protection of law so as to prevent any private or government organisation from accessing it without consent.","Another 4% agreed with the 10% while adding that Aadhaar, PAN, passport, voter ID and date of birth details should be treated as confidential.","Three per cent added bank account, credit/debit card, I-T returns and medical records to the privacy basket."
"Paris climate agreement: Donald Trump goes rogue, pulls US out of 'partial to India, China' climate deal",http://timesofindia.indiatimes.com/world/us/donald-trump-goes-rogue-pulls-us-out-of-partial-to-india-china-climate-deal/articleshow/58954220.cms,The United States is going rogue on global warming.,"Trump made the announcement of US withdrawal at the White House Rose Garden, saying that he was doing it because it was his ""solemn duty to protect America and its people"", while claiming that the accord favoured China and India.",""" The economy is coming back very very rapidly , adding $ 3 trillion to the stock market... We have just begun,"" reeling off as string of economic achievements and growth metrics since he took office as he made a case against the Paris Accord.","Trump's decision went not only against the stand of his own daughter and son-in-law, but also of some servile cabinet members, several lawmakers, major corporations, industry titans, and even Pope Francis, all of whom pressed with varying degrees of intensity for the US staying in the Accord.","The prime movers for exiting the agreement were Trump's adviser Steve Bannon and the head of the Environmental Protection Agency Scott Pruitt, who both convinced the president that US commitments to reel back emissions would put a crimp on the economy and result in job loss."
"Earthquake in Delhi-NCR: Strong tremors felt In Delhi, NCR",http://timesofindia.indiatimes.com/india/strong-tremors-felt-in-delhi-ncr/articleshow/58954003.cms,"Strong tremors woke many in Delhi, and adjoining areas of the National Capital Region (NCR), with a rude jolt on Friday morning.","The tremors, which lasted for about one minute, shook Delhi and neighbouring areas in the National Capital Region around 4:20am.",The US Geological Survey reports the quake measured 4.7 on the Richter scale.,"The epicentre of the earthquake was in Gohana, Haryana.",There was no immediate loss of life and property reported from anywhere.
Vijaya Lakshmi Pandit: Neeru Chadha may be 1st Indian woman as member of international sea tribunal,http://timesofindia.indiatimes.com/india/neeru-chadha-may-be-1st-indian-woman-as-member-of-international-sea-tribunal/articleshow/58953551.cms,"India is preparing to send its first woman as member of the International Tribunal of the Law for the Sea (ITLOS), the top body to rule on issues relating to a crucial international law where India has growing stakes.","While CLCS takes in experts in ocean sciences and hydrography, ITLOS needs an experienced legal brain.",The internecine conflict holds important lessons for India as it moves to take a bigger place for itself in the area of international governance.,"ITLOS not only rules on issues of UNCLOS, international seabed, but essentially on all laws concerning oceans.","In CLCS, Indian members would have to recuse themselves when hearings concern India, unlike, say in the ICJ or the permanent court of arbitration."
cyber crimes: Centre plans to tighten laws following surge in 'revenge porn videos',http://timesofindia.indiatimes.com/india/centre-plans-to-tighten-laws-following-surge-in-revenge-porn-videos/articleshow/58953474.cms,The government is considering changes in the law to ensure stringent action against cyber crimes targeting women such as 'revenge porn videos' in the light of an increasing number of such incidents on social media.,"Sources said WCD minister Maneka Gandhi was particularly concerned about online sexual abuse, considering its severe impact on the victim, who is often left struggling to deal with public humiliation and has to fight to even get a case registered.","Ministry officials said there may not be need for a separate legislation to deal with revenge porn and that provisions, once tightened, under IPC and IT Act would be adequate.",This is an interim measure till the IMC puts in place a centralised mechanism to monitor online child sexual abuse material.,"In a meeting on March 10, steered by the ministry, to give shape to contours of the National Alliance Against Online Child Sexual Abuse and Exploitation, participants said for individual complaints, there was a need to create a fast track procedure to enable swift and speedy compliance of requests made to ISPs seeking information or blockage or removal of any content."
Good response to affordable home scheme,http://timesofindia.indiatimes.com/india/good-response-to-affordable-home-scheme/articleshow/58953446.cms,Prime Minister Narendra Modi's new year housing sop has found rapid connect with the middle classes.,"At least 12,000 applications by middle and low-middle income home buyers have been been processed by different banks for interest subsidy in just two months.","Though PM had announced the policy decision to provide rebate to middle and low-middle income groups on December 31, the guidelines were issued only in March after assembly elections were over.","""So many applications in just two months is a clear signal of how there was a dire need to extend the interest subsidy scheme to salaried class and the new middle income group.","The government has earmarked Rs 1,000 crore for this scheme for the current fiscal and the budget would be enough to approve 40,000 to 50,000 applications."
Narendra Modi: Mann Ki Baat now in regional tongues,http://timesofindia.indiatimes.com/india/mann-ki-baat-now-in-regional-tongues/articleshow/58953248.cms,"Prime Minister Narendra Modi's radio outreach, Mann Ki Baat, will soon be translated into regional languages and local dialects in order to reach the farthest corners of the country.","""States have been asked, as a result, to produce dialectical translations that should follow soon after the PM's message is broadcast.","State information departments have also started to set up the infrastructure needed for the roll out, including hiring regional language experts.","""   Jharkhand, Haryana and Chhattisgarh will take the lead in rolling out the regional translations of PM's Mann Ki Baat, while other states will follow suit.","""Just like the PM's message talks about key priorities of the central government, state governments are free to run broadcasts of their own schemes through a 'CM Ki Baat' model, an initiative that can cut across party lines and serve as a more focused, and effective means to communicate with the people of the state,"" a ministry source said."
"presidential elections: BJP mulls 'moderate' face for Presidential polls, eyes regional help",http://timesofindia.indiatimes.com/india/bjp-mulls-moderate-face-for-presidential-polls-eyes-regional-help/articleshow/58953345.cms,The BJP has decided to reach out to regional parties over the election of the next President in view of the party's assessment that several smaller outfits could support an NDA nominee for the post.,The proposed consultations come at a time when BJP is weighing the benefits of proposing a 'moderate' face for President and in the process gaining wider support rather than a nominee seen to be imbued in a deep saffron hue.,This is a point of debate within senior BJP circles as the party begins the process of installing its choice in Rashtrapati Bhavan.,Senior BJP leaders had recently asserted that the party was assured of the support of around 54% of the electoral college and was confident of having its way in the presidential poll.,"The opposition - led by Congress, Left and Trinamool - has been looking to put up a candidate against the NDA to signal their protest against BJP's politics of ""majoritarianism"" and make a statement on the viability of an alternative view point."
"Rajnath Singh: Infiltration down since surgical hit, says Rajnath Singh",http://timesofindia.indiatimes.com/india/infiltration-down-since-surgical-hit-says-rajnath-singh/articleshow/58953221.cms,Union home minister Rajnath Singh said on Thursday that infiltration by Pakistani militants has significantly co- me down ever since the Indian Army conducted surgical strikes acr- oss the line of control (LoC).,"""There used to be infiltration by militants from Pakistan.","But I can say after surgical strikes, incidents of infiltration have come down to a large extent,"" Singh said.","While speaking at a BSF event at Vigyan Bhawan, the BJP leader also asked jawans and officers to be cautious while sharing unverified content on social media as Pakistan is spreading rumours.","""You should not forward such items, unless it is authentic and in the interest of the country as you not only protect our borders but also the country's unity and integrity."
"India-Russia relations have stood the test of time, says joint statement",http://timesofindia.indiatimes.com/india/india-russia-relations-have-stood-the-test-of-time-says-joint-statement/articleshow/58953190.cms,Narendra Modi and Vladimir Putin went beyond the recent dissonance in India-Russia ties to put in place an important reset.,"The joint statement pulls back with a carefully worded ""India-Russia relations have stood the test of time and have been immune to external influences"" which covers all three.","In fact, the trade-shy Modi government appears to have swallowed its dislike of FTAs by agreeing to negotiate a Eurasia Economic Union-India FTA, which might be of help if this corridor is to be energized.","The joint statement ""appreciate(s) the compelling logic of regional connectivity,"" but ""It should be based on dialogue and consent of all parties concerned with due respect to sovereignty.","But with both countries agreeing to work on manufacturing components and spares in India, it could cut through a major problem that bedevils defence procurement from Russia."
Hanzia Anan: LeT handler in India to direct terrorist attacks: Intelligence input,http://timesofindia.indiatimes.com/india/let-handler-in-india-to-direct-terrorist-attacks-intelligence-input/articleshow/58953194.cms,"The central intelligence agencies and police in Punjab and Jammu & Kashmir are on their toes following an input that a highly trained handler of Lashkar-e-Taiba from Pakistan, identified as Hanzia Anan, is present in India to direct attacks against civilian and military targets.","According to a fairly specific alert shared with the security forces, Anan's plans could include parts of Srinagar, Vijaypur railway station in Jammu, industrial areas in Samba and Bari Brahmana, boys hostel at Jammu Dental College, areas along Gurdaspur-Brahmana Road to Tibri near the Indian Army camp and Gurdaspur and Dinanagar in Punjab.",Intelligence agencies have not been able to establish Anan's location yet but sources said that he may have sneaked into India recently and could be helped by local operatives to carry out the attacks.,The dental college was affected by protests last year when the national flag was burnt there following India's loss to West Indies in a T-20 World Cup semi-final.,"Terrorists have carried out attacks in Gurdaspur, Udhampur and Pathankot in the recent past and Punjab police has been asked to remain on alert."
"Will continue to militarily dominate LoC, says Arun Jaitley",http://timesofindia.indiatimes.com/india/will-continue-to-militarily-dominate-loc-says-arun-jaitley/articleshow/58953095.cms,"India will continue to militarily ""dominate"" the line of control (LoC) like it has been doing for the last few weeks, Union defence minister Arun Jaitley said on Thursday while accusing Pakistan of scuttling all attempts to create a conducive environment for bilateral peace talks.","The latest cross-border firing duel began after Pakistan army ""initiated"" mortar shelling in some sectors, which led to a worker of the Border Roads Organisation being killed and five others being injured.","India has stepped up military pressure on Pakistan along the 778-km LoC, with targeted fire assaults and ""major sniping operations"", ever since the beheading of two Indian soldiers in the Krishna Ghati sector on May 1.","The overall aim is to ""proactively dominate"" the LoC by destroying Pakistan army posts aiding infiltration of militants, as was reported by TOI earlier.","""I don't want to get into the details about what the strategic approach is, but I can tell you that the Army and BSF are dominating the LoC for the past few weeks,"" Jaitley said at a press conference."
"Narendra Modi-Vladimir Putin: India, Russia sign deal for two more nuclear reactors at Kudankulam",http://timesofindia.indiatimes.com/india/india-russia-sign-deal-for-two-more-nuclear-reactors-at-kudankulam/articleshow/58953048.cms,Prime Minister Narendra Modi held wide-ranging talks with Russian President Vladimir Putin on Thursday with the highlight of their engagement being the conclusion of the general framework agreement and credit protocol for two additional nuclear reactors at Kudankulam.,"Moscow had been pushing India to sign the agreement for the past eight months, with Russia's deputy PM Dmitry Rogozin specifically taking up the issue with Modi, as first reported by TOI on May 17, in a meeting ahead of the summit.","We are convinced that the unprecedented spread of this threat requires a decisive collective response on the part of the entire global community, without double standards and selectivity, in accordance with international law and the UN Charter,"" said the declaration.",Modi also invited Russian companies to partner Indian firms in setting up manufacturing facilities to make high-tech defence equipment in India.,"Addressing CEOs of the two countries after the annual bilateral summit here, Modi said India had last month approved a policy to allow local private companies to work with foreign players to manufacture defence equipment in a bid to cut reliance on imports."
CBSE class 12 results: CBSE awarded up to 11 extra marks in Class XII,http://timesofindia.indiatimes.com/india/cbse-awarded-up-to-11-extra-marks-in-class-xii/articleshow/58952968.cms,"Ordered by the court to restore moderation of marks in Class XII this year, the Central Board of Secondary Education (CBSE) seems to have gone way beyond reasonable limits of the policy while awarding marks.",TOI accessed documents on CBSE's moderation process this year for the all India sets of question papers for 18 subjects of Class XII.,"Speaking to TOI, former CBSE chairperson Ashok K Ganguly said that such variability in mean marks amongst different sets of question papers should not have arisen in the first place.","Following the court's order, CBSE continued with its ""moderation policy"" and the Class XII results were notified on May 28, 2017.","The body should be revived and the human resource development ministry should intervene, along with state education ministers, to ensure that the 2018 board results are different,"" he said."
Paris climate deal: Donald Trump announces US withdrawal from Paris climate accord,http://timesofindia.indiatimes.com/world/us/donald-trump-announces-us-withdrawal-from-paris-climate-accord/articleshow/58952803.cms,"President Donald Trump announced on Thursday that the United States will withdraw from the landmark Paris climate agreement, following through on a pledge he made during the presidential campaign.","""   An American withdrawal, promised by Trump during the 2016 US presidential campaign, would deepen a rift with US allies and align the United States with Syria and Nicaragua as the world's only non-participants in the 195-nation accord agreed upon in Paris in 2015.","Scientists have said a US withdrawal from the deal could speed up the effects of global climate change, leading to heat waves, floods, droughts and more frequent violent storms.","Trump has expressed doubts about climate change, at times calling it a hoax to weaken US industry.","The Republican vowed at the time to ""cancel"" the Paris deal within 100 days of becoming president on Jan. 20, part of an effort to bolster U.S. oil and coal industries."
